,filename,frames
35,../data/transformer/combine/normal\23-MaleGlassesBeard-Normal.avi,0
36,../data/transformer/combine/normal\23-MaleNoGlasses-Normal.avi,0
37,../data/transformer/combine/normal\24-FemaleNoGlasses-Normal.avi,0
38,../data/transformer/combine/normal\24-MaleGlasses-Normal.avi,1
39,../data/transformer/combine/normal\25-FemaleNoGlasses-Normal.avi,0
40,../data/transformer/combine/normal\25-FemaleSunGlasses-Normal.avi,0
41,../data/transformer/combine/normal\25-MaleGlasses-Normal.avi,0
42,../data/transformer/combine/normal\25-MaleSunGlasses-Normal.avi,0
43,../data/transformer/combine/normal\26-FemaleGlasses-Normal.avi,0
44,../data/transformer/combine/normal\26-FemaleSunGlasses-Normal.avi,0
45,../data/transformer/combine/normal\26-MaleNoGlasses-Normal.avi,0
46,../data/transformer/combine/normal\27-FemaleNoGlasses-Normal.avi,2
47,../data/transformer/combine/normal\27-FemaleSunGlasses-Normal.avi,0
48,../data/transformer/combine/normal\27-MaleGlasses-Normal.avi,0
49,../data/transformer/combine/normal\27-MaleNoGlasses-Normal.avi,0
50,../data/transformer/combine/normal\28-FemaleNoGlasses-Normal.avi,0
51,../data/transformer/combine/normal\28-MaleGlasses-Normal.avi,0
52,../data/transformer/combine/normal\28-MaleNoGlasses-Normal.avi,7
53,../data/transformer/combine/normal\29-FemaleNoGlasses-Normal.avi,0
54,../data/transformer/combine/normal\29-MaleNoGlasses-Normal.avi,0
55,../data/transformer/combine/normal\3-FemaleGlasses-Normal.avi,0
56,../data/transformer/combine/normal\3-MaleGlasses-Normal.avi,5
57,../data/transformer/combine/normal\3-MaleNoGlasses-Normal.avi,2
58,../data/transformer/combine/normal\30-FemaleNoGlasses-Normal.avi,0
59,../data/transformer/combine/normal\30-MaleGlasses-Normal.avi,0
60,../data/transformer/combine/normal\31-FemaleGlasses-Normal.avi,0
61,../data/transformer/combine/normal\31-FemaleNoGlasses-Normal.avi,0
62,../data/transformer/combine/normal\31-MaleGlasses-Normal.avi,38
63,../data/transformer/combine/normal\32-FemaleSunGlasses-Normal.avi,0
64,../data/transformer/combine/normal\32-MaleGlasses-Normal.avi,0
65,../data/transformer/combine/normal\33-FemaleNoGlasses-Normal.avi,0
66,../data/transformer/combine/normal\33-MaleGlasses-Normal.avi,0
67,../data/transformer/combine/normal\34-FemaleNoGlasses-Normal.avi,0
68,../data/transformer/combine/normal\34-MaleNoGlasses-Normal.avi,2
69,../data/transformer/combine/normal\35-FemaleNoGlasses-Normal.avi,0
70,../data/transformer/combine/normal\35-MaleNoGlasses-Normal.avi,1
71,../data/transformer/combine/normal\36-FemaleNoGlasses-Normal.avi,4
72,../data/transformer/combine/normal\36-MaleNoGlasses-Normal.avi,0
73,../data/transformer/combine/normal\36-MaleSunGlasses-Normal.avi,0
74,../data/transformer/combine/normal\37-FemaleNoGlasses-Normal.avi,0
75,../data/transformer/combine/normal\37-MaleNoGlasses-Normal.avi,6
76,../data/transformer/combine/normal\38-FemaleNoGlasses-Normal.avi,0
77,../data/transformer/combine/normal\38-MaleNoGlasses-Normal.avi,0
78,../data/transformer/combine/normal\38-MaleSunGlasses-Normal.avi,0
79,../data/transformer/combine/normal\39-FemaleNoGlasses-Normal.avi,22
80,../data/transformer/combine/normal\39-MaleGlasses-Normal.avi,0
81,../data/transformer/combine/normal\4-FemaleGlasses-Normal.avi,0
82,../data/transformer/combine/normal\4-MaleNoGlasses-Normal.avi,0
83,../data/transformer/combine/normal\40-FemaleNoGlasses-Normal.avi,0
84,../data/transformer/combine/normal\40-MaleNoGlasses-Normal.avi,0
85,../data/transformer/combine/normal\41-FemaleGlasses-Normal.avi,0
86,../data/transformer/combine/normal\41-MaleNoGlasses-Normal.avi,5
87,../data/transformer/combine/normal\42-FemaleSunGlasses-Normal.avi,0
88,../data/transformer/combine/normal\42-MaleNoGlasses-Normal.avi,6
89,../data/transformer/combine/normal\43-FemaleNoGlasses-Normal.avi,2
90,../data/transformer/combine/normal\43-MaleNoGlasses-Normal.avi,0
91,../data/transformer/combine/normal\44-MaleNoGlasses-Normal.avi,6
92,../data/transformer/combine/normal\45-MaleNoGlasses-Normal.avi,4
93,../data/transformer/combine/normal\46-MaleGlasses-Normal.avi,10
94,../data/transformer/combine/normal\47-MaleNoGlasses-Normal.avi,15
95,../data/transformer/combine/normal\5-FemaleGlasses-Normal.avi,0
96,../data/transformer/combine/normal\5-MaleNoGlasses-Normal.avi,0
97,../data/transformer/combine/normal\6-FemaleNoGlasses-Normal.avi,0
98,../data/transformer/combine/normal\6-MaleNoGlasses-Normal.avi,0
99,../data/transformer/combine/normal\7-FemaleGlasses-Normal.avi,0
100,../data/transformer/combine/normal\7-MaleGlasses-Normal.avi,1
101,../data/transformer/combine/normal\8-FemaleGlasses-Normal.avi,0
102,../data/transformer/combine/normal\8-MaleGlassesBeard-Normal.avi,66
103,../data/transformer/combine/normal\9-FemaleNoGlasses-Normal.avi,0
104,../data/transformer/combine/normal\9-MaleNoGlasses-Normal.avi,0
105,../data/transformer/combine/talking\1-FemaleNoGlasses-Talking.avi,12
106,../data/transformer/combine/talking\1-MaleNoGlasses-Talking.avi,20
107,../data/transformer/combine/talking\10-FemaleNoGlasses-Talking.avi,72
108,../data/transformer/combine/talking\10-MaleNoGlasses-Talking.avi,15
109,../data/transformer/combine/talking\11-FemaleNoGlasses-Talking.avi,12
110,../data/transformer/combine/talking\11-MaleGlasses-Talking.avi,14
111,../data/transformer/combine/talking\12-FemaleNoGlasses-Talking.avi,4
112,../data/transformer/combine/talking\12-MaleGlasses-Talking.avi,14
113,../data/transformer/combine/talking\13-FemaleNoGlasses-Talking.avi,32
114,../data/transformer/combine/talking\13-MaleGlasses-Talking.avi,20
115,../data/transformer/combine/talking\14-FemaleNoGlasses-Talking.avi,49
116,../data/transformer/combine/talking\14-MaleGlasses-Talking.avi,5
117,../data/transformer/combine/talking\15-FemaleGlasses-Talking.avi,26
118,../data/transformer/combine/talking\15-MaleNoGlasses-Talking.avi,47
119,../data/transformer/combine/talking\16-FemaleGlasses-Talking.avi,18
120,../data/transformer/combine/talking\16-MaleNoGlasses-Talking.avi,28
121,../data/transformer/combine/talking\17-FemaleNoGlasses-Talking.avi,47
122,../data/transformer/combine/talking\17-FemaleSunGlasses-Talking.avi,72
123,../data/transformer/combine/talking\17-MaleNoGlasses-Talking.avi,3
124,../data/transformer/combine/talking\18-FemaleNoGlasses-Talking.avi,102
125,../data/transformer/combine/talking\18-FemaleSunGlasses-Talking.avi,3
126,../data/transformer/combine/talking\18-MaleNoGlasses-Talking.avi,23
127,../data/transformer/combine/talking\19-FemaleNoGlasses-Talking&Yawning.avi,108
128,../data/transformer/combine/talking\19-MaleGlassesmoustache-Talking.avi,64
129,../data/transformer/combine/talking\2-FemaleNoGlasses-Talking.avi,11
130,../data/transformer/combine/talking\2-MaleGlasses-Talking.avi,5
131,../data/transformer/combine/talking\20-FemaleNoGlasses-Talking.avi,28
132,../data/transformer/combine/talking\20-MaleGlasses-Talking&yawning.avi,90
133,../data/transformer/combine/talking\21-FemaleNoGlasses-Talking.avi,34
134,../data/transformer/combine/talking\21-MaleGlasses-Talking.avi,66
135,../data/transformer/combine/talking\22-FemaleNoGlasses-Talking.avi,31
136,../data/transformer/combine/talking\22-FemaleSunGlasses-Talking.avi,19
137,../data/transformer/combine/talking\22-MaleGlassesmoustache-Yawning.avi,305
138,../data/transformer/combine/talking\23-FemaleNoGlasses-Talking.avi,30
139,../data/transformer/combine/talking\23-MaleGlassesBeard-Talking.avi,16
140,../data/transformer/combine/talking\23-MaleNoGlasses-Talking.avi,2
141,../data/transformer/combine/talking\24-FemaleNoGlasses-Talking.avi,22
142,../data/transformer/combine/talking\24-MaleGlasses-Talking.avi,33
143,../data/transformer/combine/talking\25-FemaleSunGlasses-Talking.avi,2
144,../data/transformer/combine/talking\25-MaleGlasses-Talking.avi,17
145,../data/transformer/combine/talking\25-MaleSunGlasses-Talking.avi,9
146,../data/transformer/combine/talking\26-FemaleGlasses-Talking.avi,7
147,../data/transformer/combine/talking\26-MaleNoGlasses-Talking.avi,3
148,../data/transformer/combine/talking\27-FemaleSunGlasses-Talking.avi,13
149,../data/transformer/combine/talking\27-MaleGlasses-Talking.avi,13
150,../data/transformer/combine/talking\27-MaleNoGlasses-Talking.avi,9
151,../data/transformer/combine/talking\28-FemaleNoGlasses-Talking.avi,10
152,../data/transformer/combine/talking\28-MaleGlasses-Talking.avi,13
153,../data/transformer/combine/talking\28-MaleNoGlasses-Talking.avi,11
154,../data/transformer/combine/talking\29-FemaleNoGlasses-Talking.avi,39
155,../data/transformer/combine/talking\29-MaleNoGlasses-Talking.avi,21
156,../data/transformer/combine/talking\3-FemaleGlasses-Talking.avi,36
157,../data/transformer/combine/talking\3-MaleGlasses-Talking.avi,12
158,../data/transformer/combine/talking\30-FemaleNoGlasses-Talking.avi,9
159,../data/transformer/combine/talking\30-MaleGlasses-Talking.avi,3
160,../data/transformer/combine/talking\31-FemaleGlasses-Talking.avi,7
161,../data/transformer/combine/talking\31-FemaleNoGlasses-Talking.avi,14
162,../data/transformer/combine/talking\31-MaleGlasses-Talking.avi,26
163,../data/transformer/combine/talking\32-FemaleSunGlasses-Talking.avi,18
164,../data/transformer/combine/talking\32-MaleGlasses-Talking.avi,22
165,../data/transformer/combine/talking\33-FemaleNoGlasses-Talking.avi,52
166,../data/transformer/combine/talking\33-MaleGlasses-Talking.avi,8
167,../data/transformer/combine/talking\34-FemaleNoGlasses-Talking.avi,42
168,../data/transformer/combine/talking\34-MaleNoGlasses-Talking.avi,6
169,../data/transformer/combine/talking\35-FemaleNoGlasses-Talking.avi,42
170,../data/transformer/combine/talking\35-MaleNoGlasses-Talking.avi,17
171,../data/transformer/combine/talking\36-FemaleNoGlasses-Talking.avi,8
172,../data/transformer/combine/talking\36-MaleNoGlasses-Talking.avi,6
173,../data/transformer/combine/talking\36-MaleSunGlasses-Talking.avi,18
174,../data/transformer/combine/talking\37-FemaleNoGlasses-Talking.avi,16
175,../data/transformer/combine/talking\37-MaleNoGlasses-Talking.avi,36
176,../data/transformer/combine/talking\38-FemaleNoGlasses-Talking.avi,13
177,../data/transformer/combine/talking\38-MaleNoGlasses-Talking.avi,39
178,../data/transformer/combine/talking\38-MaleSunGlasses-Talking.avi,4
179,../data/transformer/combine/talking\39-FemaleNoGlasses-Talking.avi,60
180,../data/transformer/combine/talking\39-MaleGlasses-Talking.avi,20
181,../data/transformer/combine/talking\4-FemaleGlasses-Talking.avi,30
182,../data/transformer/combine/talking\4-MaleNoGlasses-Talking.avi,4
183,../data/transformer/combine/talking\40-FemaleNoGlasses-Talking.avi,44
184,../data/transformer/combine/talking\40-MaleNoGlasses-Talking.avi,5
185,../data/transformer/combine/talking\41-FemaleGlasses-Talking.avi,9
186,../data/transformer/combine/talking\41-MaleNoGlasses-Talking.avi,2
187,../data/transformer/combine/talking\42-FemaleSunGlasses-Talking.avi,9
188,../data/transformer/combine/talking\42-MaleNoGlasses-Talking.avi,53
189,../data/transformer/combine/talking\43-FemaleNoGlasses-Talking.avi,8
190,../data/transformer/combine/talking\43-MaleNoGlasses-Talking.avi,0
191,../data/transformer/combine/talking\44-MaleNoGlasses-Talking.avi,15
192,../data/transformer/combine/talking\45-MaleNoGlasses-Talking.avi,38
193,../data/transformer/combine/talking\46-MaleGlasses-Talking.avi,18
194,../data/transformer/combine/talking\47-MaleNoGlasses-Talking.avi,16
195,../data/transformer/combine/talking\5-FemaleGlasses-Talking.avi,14
196,../data/transformer/combine/talking\5-MaleNoGlasses-Talking.avi,0
197,../data/transformer/combine/talking\6-FemaleNoGlasses-Talking.avi,7
198,../data/transformer/combine/talking\6-MaleNoGlasses-Talking.avi,12
199,../data/transformer/combine/talking\7-FemaleGlasses-Talking.avi,36
200,../data/transformer/combine/talking\7-MaleGlasses-Talking.avi,11
201,../data/transformer/combine/talking\8-FemaleGlasses-Talking.avi,5
202,../data/transformer/combine/talking\8-MaleGlassesBeard-Talking.avi,91
203,../data/transformer/combine/talking\9-FemaleNoGlasses-Talking.avi,47
204,../data/transformer/combine/talking\9-MaleNoGlasses-Talking.avi,9
205,../data/transformer/combine/talking&yawning\19-FemaleNoGlasses-Talking&Yawning.avi,108
206,../data/transformer/combine/talking&yawning\20-MaleGlasses-Talking&yawning.avi,90
207,../data/transformer/combine/talking&yawning\23-FemaleNoGlasses-Talking&Yawning.avi,58
208,../data/transformer/combine/talking&yawning\23-MaleGlassesBeard-Talking&Yawning.avi,77
209,../data/transformer/combine/talking&yawning\27-FemaleNoGlasses-Talking&Yawning.avi,53
210,../data/transformer/combine/talking&yawning\30-MaleGlasses-Talking&Yawning.avi,116
211,../data/transformer/combine/talking&yawning\32-MaleGlasses-Talking&Yawning.avi,180
212,../data/transformer/combine/talking&yawning\33-MaleGlasses-Talking&Yawning.avi,77
213,../data/transformer/combine/talking&yawning\34-FemaleNoGlasses-Talking&Yawning.avi,108
214,../data/transformer/combine/talking&yawning\35-FemaleNoGlasses-Talking&Yawning.avi,72
215,../data/transformer/combine/talking&yawning\36-FemaleNoGlasses-Talking&Yawning.avi,44
216,../data/transformer/combine/talking&yawning\37-FemaleNoGlasses-Talking&Yawning.avi,59
217,../data/transformer/combine/talking&yawning\39-FemaleNoGlasses-Talking&Yawning.avi,75
